route_id,sequence,type,name,lat,lon,prev_lat,prev_lon,dist_from_prev
route_1044,9,Stop,,43.71,10.413,43.71,10.413,0.00
route_1044,10,Location,Pizzeria Pisanova,43.71,10.413,43.71,10.413,0.00
route_1045,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1045,1,Stop,,43.715,10.412,43.713,10.418,531.04
route_1045,2,Stop,,43.714,10.406,43.715,10.412,494.88
route_1045,3,Stop,,43.716,10.4,43.714,10.406,531.03
route_1045,4,Stop,,43.715,10.394,43.716,10.4,494.87
route_1045,5,Stop,,43.713,10.388,43.715,10.394,531.04
route_1045,6,Stop,,43.712,10.382,43.713,10.388,494.89
route_1045,7,Stop,,43.71,10.375,43.712,10.382,604.99
route_1045,8,Stop,,43.706,10.372,43.71,10.375,505.94
route_1045,9,Stop,,43.703,10.367,43.706,10.372,522.32
route_1045,10,Location,Ristorante Il Rustichello - San Piero,43.7,10.362,43.703,10.367,522.34
route_1046,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1046,1,Stop,,43.715,10.41,43.713,10.418,680.35
route_1046,2,Stop,,43.715,10.402,43.715,10.41,642.96
route_1046,3,Stop,,43.715,10.395,43.715,10.402,562.59
route_1046,4,Stop,,43.712,10.384,43.715,10.395,944.93
route_1046,5,Stop,,43.711,10.378,43.712,10.384,494.90
route_1046,6,Stop,,43.707,10.376,43.711,10.378,472.94
route_1046,7,Stop,,43.703,10.369,43.707,10.376,717.25
route_1046,8,Stop,,43.696,10.366,43.703,10.369,814.87
route_1046,9,Stop,,43.69,10.367,43.696,10.366,672.00
route_1046,10,Location,Eurospin Ospedaletto,43.686,10.373,43.69,10.367,656.18
route_1047,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1047,1,Stop,,43.715,10.412,43.713,10.418,531.04
route_1047,2,Stop,,43.714,10.406,43.715,10.412,494.88
route_1047,3,Stop,,43.716,10.399,43.714,10.406,604.95
route_1047,4,Stop,,43.715,10.393,43.716,10.399,494.87
route_1047,5,Stop,,43.712,10.384,43.715,10.393,796.56
route_1047,6,Stop,,43.716,10.383,43.712,10.384,451.98
route_1047,7,Stop,,43.723,10.38,43.716,10.383,814.85
route_1047,8,Stop,,43.723,10.375,43.723,10.38,401.80
route_1047,9,Stop,,43.722,10.367,43.723,10.375,652.43
route_1047,10,Location,McDonald's Barbaricina,43.721,10.362,43.722,10.367,416.91
route_1048,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1048,1,Stop,,43.715,10.409,43.713,10.418,756.76
route_1048,2,Stop,,43.716,10.401,43.715,10.409,652.50
route_1048,3,Stop,,43.715,10.393,43.716,10.401,652.50
route_1048,4,Stop,,43.712,10.384,43.715,10.393,796.56
route_1048,5,Stop,,43.723,10.38,43.712,10.384,1264.68
route_1048,6,Stop,,43.723,10.375,43.723,10.38,401.80
route_1048,7,Stop,,43.721,10.361,43.723,10.375,1146.82
route_1048,8,Stop,,43.722,10.35,43.721,10.361,890.94
route_1048,9,Stop,,43.719,10.353,43.722,10.35,411.59
route_1048,10,Location,Conad La Vettola,43.713,10.352,43.719,10.353,671.99
route_1049,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1049,1,Stop,,43.711,10.422,43.713,10.418,390.92
route_1049,2,Stop,,43.709,10.428,43.711,10.422,531.07
route_1049,3,Stop,,43.707,10.434,43.709,10.428,531.08
route_1049,4,Stop,,43.704,10.436,43.707,10.434,370.30
route_1049,5,Stop,,43.7,10.436,43.704,10.436,444.78
route_1049,6,Stop,,43.696,10.435,43.7,10.436,451.99
route_1049,7,Stop,,43.691,10.435,43.696,10.435,555.97
route_1049,8,Stop,,43.688,10.433,43.691,10.435,370.32
route_1049,9,Stop,,43.689,10.428,43.688,10.433,417.12
route_1049,10,Location,MD Discount Riglione,43.69,10.428,43.689,10.428,111.19
route_1080,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1080,1,Stop,,43.711,10.421,43.713,10.421,222.39
route_1080,2,Stop,,43.711,10.417,43.711,10.421,321.50
route_1080,3,Stop,,43.71,10.412,43.711,10.417,416.98
route_1080,4,Stop,,43.71,10.412,43.71,10.412,0.00
route_1080,5,Stop,,43.71,10.408,43.71,10.412,321.51
route_1080,6,Stop,,43.71,10.406,43.71,10.408,160.75
route_1080,7,Stop,,43.709,10.406,43.71,10.406,111.19
route_1080,8,Stop,,43.707,10.406,43.709,10.406,222.39
route_1080,9,Stop,,43.706,10.407,43.707,10.406,137.21
route_1080,10,Location,Ristorante Il Mio Capriccio,43.706,10.408,43.706,10.407,80.38
route_1081,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1081,1,Stop,,43.711,10.42,43.713,10.421,236.47
route_1081,2,Stop,,43.71,10.415,43.711,10.42,416.98
route_1081,3,Stop,,43.71,10.412,43.71,10.415,241.13
route_1081,4,Stop,,43.71,10.41,43.71,10.412,160.75
route_1081,5,Stop,,43.711,10.408,43.71,10.41,195.46
route_1081,6,Stop,,43.714,10.409,43.711,10.408,343.13
route_1081,7,Stop,,43.716,10.409,43.714,10.409,222.39
route_1081,8,Stop,,43.719,10.41,43.716,10.409,343.13
route_1081,9,Stop,,43.719,10.407,43.719,10.41,241.09
route_1081,10,Location,Via del Borghetto 102,43.72,10.406,43.719,10.407,137.20
route_1082,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1082,1,Stop,,43.712,10.421,43.713,10.421,111.19
route_1082,2,Stop,,43.712,10.421,43.712,10.421,0.00
route_1082,3,Stop,,43.712,10.421,43.712,10.421,0.00
route_1082,4,Stop,,43.712,10.42,43.712,10.421,80.37
route_1082,5,Stop,,43.713,10.42,43.712,10.42,111.19
route_1082,6,Stop,,43.713,10.419,43.713,10.42,80.37
route_1082,7,Stop,,43.713,10.419,43.713,10.419,0.00
route_1082,8,Stop,,43.713,10.418,43.713,10.419,80.37
route_1082,9,Stop,,43.713,10.418,43.713,10.418,0.00
route_1082,10,Location,Parcheggio di Cisanello,43.714,10.418,43.713,10.418,111.19
route_1083,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1083,1,Stop,,43.711,10.421,43.713,10.421,222.39
route_1083,2,Stop,,43.711,10.421,43.711,10.421,0.00
route_1083,3,Stop,,43.711,10.42,43.711,10.421,80.38
route_1083,4,Stop,,43.711,10.417,43.711,10.42,241.13
route_1083,5,Stop,,43.71,10.415,43.711,10.417,195.46
route_1083,6,Stop,,43.71,10.415,43.71,10.415,0.00
route_1083,7,Stop,,43.71,10.412,43.71,10.415,241.13
route_1083,8,Stop,,43.71,10.412,43.71,10.412,0.00
route_1083,9,Stop,,43.71,10.412,43.71,10.412,0.00
route_1083,10,Location,Carrefour Express Pisanova,43.71,10.411,43.71,10.412,80.38
route_1084,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1084,1,Stop,,43.711,10.417,43.713,10.421,390.92
route_1084,2,Stop,,43.71,10.411,43.711,10.417,494.91
route_1084,3,Stop,,43.71,10.406,43.71,10.411,401.88
route_1084,4,Stop,,43.708,10.402,43.71,10.406,390.93
route_1084,5,Stop,,43.705,10.401,43.708,10.402,343.13
route_1084,6,Stop,,43.7,10.4,43.705,10.401,561.76
route_1084,7,Stop,,43.7,10.398,43.7,10.4,160.78
route_1084,8,Stop,,43.7,10.392,43.7,10.398,482.34
route_1084,9,Stop,,43.702,10.388,43.7,10.392,390.97
route_1084,10,Location,OBI Pisa,43.701,10.383,43.702,10.388,417.04
route_1085,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1085,1,Stop,,43.711,10.417,43.713,10.421,390.92
route_1085,2,Stop,,43.71,10.412,43.711,10.417,416.98
route_1085,3,Stop,,43.71,10.41,43.71,10.412,160.75
route_1085,4,Stop,,43.71,10.406,43.71,10.41,321.51
route_1085,5,Stop,,43.709,10.402,43.71,10.406,340.20
route_1085,6,Stop,,43.706,10.403,43.709,10.402,343.13
route_1085,7,Stop,,43.703,10.401,43.706,10.403,370.30
route_1085,8,Stop,,43.702,10.398,43.703,10.401,265.56
route_1085,9,Stop,,43.701,10.397,43.702,10.398,137.21
route_1085,10,Location,Ristorante La Greppia,43.704,10.399,43.701,10.397,370.31
route_1086,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1086,1,Stop,,43.711,10.42,43.713,10.421,236.47
route_1086,2,Stop,,43.71,10.415,43.711,10.42,416.98
route_1086,3,Stop,,43.71,10.412,43.71,10.415,241.13
route_1086,4,Stop,,43.71,10.408,43.71,10.412,321.51
route_1086,5,Stop,,43.71,10.405,43.71,10.408,241.13
route_1086,6,Stop,,43.708,10.402,43.71,10.405,328.03
route_1086,7,Stop,,43.706,10.403,43.708,10.402,236.47
route_1086,8,Stop,,43.704,10.403,43.706,10.403,222.39
route_1086,9,Stop,,43.704,10.405,43.704,10.403,160.77
route_1086,10,Location,Ristorante Pizzeria Il Pellicano,43.705,10.403,43.704,10.405,195.48
route_1087,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1087,1,Stop,,43.715,10.422,43.713,10.421,236.47
route_1087,2,Stop,,43.715,10.422,43.715,10.422,0.00
route_1087,3,Stop,,43.716,10.422,43.715,10.422,111.19
route_1087,4,Stop,,43.717,10.422,43.716,10.422,111.19
route_1087,5,Stop,,43.718,10.42,43.717,10.422,195.45
route_1087,6,Stop,,43.719,10.42,43.718,10.42,111.19
route_1087,7,Stop,,43.718,10.419,43.719,10.42,137.20
route_1087,8,Stop,,43.717,10.416,43.718,10.419,265.51
route_1087,9,Stop,,43.716,10.417,43.717,10.416,137.20
route_1087,10,Location,Via San Ranieri 9,43.716,10.417,43.716,10.417,0.00
route_1110,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1110,1,Stop,,43.716,10.422,43.713,10.421,343.13
route_1110,2,Stop,,43.721,10.422,43.716,10.422,555.97
route_1110,3,Stop,,43.723,10.416,43.721,10.422,530.98
route_1110,4,Stop,,43.725,10.409,43.723,10.416,604.87
route_1110,5,Stop,,43.727,10.405,43.725,10.409,390.86
route_1110,6,Stop,,43.733,10.408,43.727,10.405,709.38
route_1110,7,Stop,,43.737,10.412,43.733,10.408,548.73
route_1110,8,Stop,,43.744,10.417,43.737,10.412,875.90
route_1110,9,Stop,,43.746,10.411,43.744,10.417,530.81
route_1110,10,Location,Ristorante Il Lago (Nodica),43.749,10.413,43.746,10.411,370.25
route_1111,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1111,1,Stop,,43.711,10.421,43.713,10.421,222.39
route_1111,2,Stop,,43.711,10.423,43.711,10.421,160.75
route_1111,3,Stop,,43.71,10.427,43.711,10.423,340.19
route_1111,4,Stop,,43.709,10.428,43.71,10.427,137.20
route_1111,5,Stop,,43.707,10.434,43.709,10.428,531.08
route_1111,6,Stop,,43.707,10.434,43.707,10.434,0.00
route_1111,7,Stop,,43.707,10.435,43.707,10.434,80.38
route_1111,8,Stop,,43.707,10.434,43.707,10.435,80.38
route_1111,9,Stop,,43.709,10.43,43.707,10.434,390.94
route_1111,10,Location,Pizzeria Colignola,43.709,10.43,43.709,10.43,0.00
route_1112,0,Location,Farmacia Cisanello,43.713,10.421,,,
route_1112,1,Stop,,43.715,10.422,43.713,10.421,236.47
route_1112,2,Stop,,43.719,10.42,43.715,10.422,472.93
route_1112,3,Stop,,43.721,10.419,43.719,10.42,236.46
route_1112,4,Stop,,43.723,10.416,43.721,10.419,327.99
route_1112,5,Stop,,43.727,10.418,43.723,10.416,472.92
route_1112,6,Stop,,43.729,10.422,43.727,10.418,390.85
route_1112,7,Stop,,43.734,10.425,43.729,10.422,605.98
route_1112,8,Stop,,43.735,10.423,43.734,10.425,195.41
route_1112,9,Stop,,43.739,10.425,43.735,10.423,472.91
route_1112,10,Location,Supermercato Coop Ghezzano,43.741,10.425,43.739,10.425,222.39
route_1113,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1113,1,Stop,,43.705,10.413,43.706,10.408,417.01
route_1113,2,Stop,,43.707,10.408,43.705,10.413,459.34
route_1113,3,Stop,,43.71,10.407,43.707,10.408,343.13
route_1113,4,Stop,,43.713,10.408,43.71,10.407,343.13
route_1113,5,Stop,,43.717,10.409,43.713,10.408,451.98
route_1113,6,Stop,,43.719,10.407,43.717,10.409,274.39
route_1113,7,Stop,,43.723,10.407,43.719,10.407,444.78
route_1113,8,Stop,,43.724,10.407,43.723,10.407,111.19
route_1113,9,Stop,,43.723,10.402,43.724,10.407,416.90
route_1113,10,Location,Torre,43.723,10.398,43.723,10.402,321.44
route_1114,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1114,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1114,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1114,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1114,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1114,5,Stop,,43.71,10.406,43.708,10.407,236.47
route_1114,6,Stop,,43.71,10.404,43.71,10.406,160.75
route_1114,7,Stop,,43.71,10.4,43.71,10.404,321.51
route_1114,8,Stop,,43.71,10.398,43.71,10.4,160.75
route_1114,9,Stop,,43.71,10.396,43.71,10.398,160.75
route_1114,10,Location,Stazione Pisa Centrale,43.709,10.397,43.71,10.396,137.20
route_1115,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1115,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1115,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1115,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1115,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1115,5,Stop,,43.71,10.407,43.708,10.407,222.39
route_1115,6,Stop,,43.711,10.408,43.71,10.407,137.20
route_1115,7,Stop,,43.714,10.409,43.711,10.408,343.13
route_1115,8,Stop,,43.716,10.409,43.714,10.409,222.39
route_1115,9,Stop,,43.719,10.41,43.716,10.409,343.13
route_1115,10,Location,Universita di Pisa,43.719,10.408,43.719,10.41,160.73
route_1116,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1116,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1116,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1116,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1116,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1116,5,Stop,,43.71,10.406,43.708,10.407,236.47
route_1116,6,Stop,,43.711,10.408,43.71,10.406,195.46
route_1116,7,Stop,,43.713,10.408,43.711,10.408,222.39
route_1116,8,Stop,,43.714,10.405,43.713,10.408,265.52
route_1116,9,Stop,,43.715,10.402,43.714,10.405,265.52
route_1116,10,Location,Via Aretino Spinello 11,43.715,10.4,43.715,10.402,160.74
route_1117,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1117,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1117,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1117,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1117,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1117,5,Stop,,43.709,10.406,43.708,10.407,137.20
route_1117,6,Stop,,43.71,10.408,43.709,10.406,195.46
route_1117,7,Stop,,43.713,10.408,43.71,10.408,333.58
route_1117,8,Stop,,43.714,10.406,43.713,10.408,195.46
route_1117,9,Stop,,43.715,10.403,43.714,10.406,265.52
route_1117,10,Location,Via Angelo Battelli 5,43.716,10.402,43.715,10.403,137.20
route_1140,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1140,1,Stop,,43.704,10.413,43.706,10.408,459.34
route_1140,2,Stop,,43.706,10.409,43.704,10.413,390.95
route_1140,3,Stop,,43.709,10.406,43.706,10.409,411.62
route_1140,4,Stop,,43.71,10.408,43.709,10.406,195.46
route_1140,5,Stop,,43.714,10.409,43.71,10.408,451.98
route_1140,6,Stop,,43.717,10.409,43.714,10.409,333.58
route_1140,7,Stop,,43.719,10.416,43.717,10.409,604.93
route_1140,8,Stop,,43.719,10.417,43.719,10.416,80.36
route_1140,9,Stop,,43.718,10.417,43.719,10.417,111.19
route_1140,10,Location,Via San Ranieri 9,43.716,10.417,43.718,10.417,222.39
route_1141,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1141,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1141,2,Stop,,43.702,10.412,43.704,10.411,236.47
route_1141,3,Stop,,43.701,10.409,43.702,10.412,265.57
route_1141,4,Stop,,43.702,10.407,43.701,10.409,195.48
route_1141,5,Stop,,43.703,10.404,43.702,10.407,265.56
route_1141,6,Stop,,43.705,10.403,43.703,10.404,236.47
route_1141,7,Stop,,43.705,10.4,43.705,10.403,241.15
route_1141,8,Stop,,43.707,10.397,43.705,10.4,328.04
route_1141,9,Stop,,43.707,10.393,43.707,10.397,321.52
route_1141,10,Location,Supermercato Coop San Giusto,43.706,10.392,43.707,10.393,137.21
route_1142,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1142,1,Stop,,43.705,10.41,43.706,10.408,195.47
route_1142,2,Stop,,43.704,10.413,43.705,10.41,265.55
route_1142,3,Stop,,43.705,10.412,43.704,10.413,137.21
route_1142,4,Stop,,43.706,10.41,43.705,10.412,195.47
route_1142,5,Stop,,43.706,10.408,43.706,10.41,160.76
route_1142,6,Stop,,43.708,10.407,43.706,10.408,236.47
route_1142,7,Stop,,43.709,10.406,43.708,10.407,137.20
route_1142,8,Stop,,43.71,10.405,43.709,10.406,137.20
route_1142,9,Stop,,43.712,10.406,43.71,10.405,236.47
route_1142,10,Location,Via Montanelli 66,43.713,10.406,43.712,10.406,111.19
route_1143,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1143,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1143,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1143,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1143,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1143,5,Stop,,43.71,10.406,43.708,10.407,236.47
route_1143,6,Stop,,43.71,10.41,43.71,10.406,321.51
route_1143,7,Stop,,43.71,10.412,43.71,10.41,160.75
route_1143,8,Stop,,43.71,10.415,43.71,10.412,241.13
route_1143,9,Stop,,43.711,10.419,43.71,10.415,340.19
route_1143,10,Location,Ristorante Tuscany 2,43.71,10.42,43.711,10.419,137.20
route_1144,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1144,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1144,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1144,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1144,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1144,5,Stop,,43.71,10.406,43.708,10.407,236.47
route_1144,6,Stop,,43.71,10.41,43.71,10.406,321.51
route_1144,7,Stop,,43.71,10.412,43.71,10.41,160.75
route_1144,8,Stop,,43.708,10.413,43.71,10.412,236.47
route_1144,9,Stop,,43.707,10.413,43.708,10.413,111.19
route_1144,10,Location,Euronics Pisa Cisanello,43.707,10.415,43.707,10.413,160.76
route_1145,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1145,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1145,2,Stop,,43.705,10.411,43.704,10.411,111.19
route_1145,3,Stop,,43.708,10.407,43.705,10.411,463.31
route_1145,4,Stop,,43.709,10.406,43.708,10.407,137.20
route_1145,5,Stop,,43.71,10.41,43.709,10.406,340.20
route_1145,6,Stop,,43.71,10.412,43.71,10.41,160.75
route_1145,7,Stop,,43.711,10.417,43.71,10.412,416.98
route_1145,8,Stop,,43.711,10.42,43.711,10.417,241.13
route_1145,9,Stop,,43.713,10.42,43.711,10.42,222.39
route_1145,10,Location,Hotel San Ranieri,43.715,10.421,43.713,10.42,236.47
route_1146,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1146,1,Stop,,43.704,10.411,43.706,10.408,328.04
route_1146,2,Stop,,43.705,10.412,43.704,10.411,137.21
route_1146,3,Stop,,43.706,10.409,43.705,10.412,265.55
route_1146,4,Stop,,43.708,10.407,43.706,10.409,274.41
route_1146,5,Stop,,43.709,10.406,43.708,10.407,137.20
route_1146,6,Stop,,43.71,10.41,43.709,10.406,340.20
route_1146,7,Stop,,43.71,10.411,43.71,10.41,80.38
route_1146,8,Stop,,43.71,10.415,43.71,10.411,321.51
route_1146,9,Stop,,43.711,10.417,43.71,10.415,195.46
route_1146,10,Location,Esselunga Cisanello,43.711,10.42,43.711,10.417,241.13
route_1147,0,Location,Ristorante Il Mio Capriccio,43.706,10.408,,,
route_1147,1,Stop,,43.702,10.412,43.706,10.408,548.83
route_1147,2,Stop,,43.701,10.408,43.702,10.412,340.24
route_1147,3,Stop,,43.702,10.404,43.701,10.408,340.24
route_1147,4,Stop,,43.7,10.4,43.702,10.404,390.97
route_1147,5,Stop,,43.699,10.396,43.7,10.4,340.25
route_1147,6,Stop,,43.696,10.393,43.699,10.396,411.64
route_1147,7,Stop,,43.696,10.386,43.696,10.393,562.77
route_1147,8,Stop,,43.694,10.384,43.696,10.386,274.43
route_1147,9,Stop,,43.691,10.385,43.694,10.384,343.14
route_1147,10,Location,Piscina Comunale Camalich,43.687,10.383,43.691,10.385,472.96
route_1170,0,Location,Via del Borghetto 102,43.72,10.406,,,
route_1170,1,Stop,,43.72,10.403,43.72,10.406,241.09
route_1170,2,Stop,,43.718,10.404,43.72,10.403,236.47
route_1170,3,Stop,,43.716,10.404,43.718,10.404,222.39
route_1170,4,Stop,,43.716,10.405,43.716,10.404,80.37
route_1170,5,Stop,,43.715,10.407,43.716,10.405,195.45
route_1170,6,Stop,,43.714,10.409,43.715,10.407,195.45
route_1170,7,Stop,,43.714,10.406,43.714,10.409,241.11
route_1170,8,Stop,,43.715,10.403,43.714,10.406,265.52
route_1170,9,Stop,,43.715,10.403,43.715,10.403,0.00
route_1170,10,Location,Via Angelo Battelli 5,43.716,10.402,43.715,10.403,137.20
route_1171,0,Location,Via del Borghetto 102,43.72,10.406,,,
route_1171,1,Stop,,43.72,10.404,43.72,10.406,160.73
route_1171,2,Stop,,43.72,10.404,43.72,10.404,0.00
route_1171,3,Stop,,43.72,10.403,43.72,10.404,80.36
route_1171,4,Stop,,43.719,10.403,43.72,10.403,111.19
route_1171,5,Stop,,43.718,10.403,43.719,10.403,111.19
route_1171,6,Stop,,43.718,10.404,43.718,10.403,80.37
route_1171,7,Stop,,43.718,10.404,43.718,10.404,0.00
route_1171,8,Stop,,43.718,10.404,43.718,10.404,0.00
route_1171,9,Stop,,43.717,10.404,43.718,10.404,111.19
route_1171,10,Location,Via Gabriele Vettori 18,43.717,10.404,43.717,10.404,0.00
route_1172,0,Location,Via del Borghetto 102,43.72,10.406,,,
route_1172,1,Stop,,43.72,10.404,43.72,10.406,160.73
route_1172,2,Stop,,43.719,10.403,43.72,10.404,137.20
route_1172,3,Stop,,43.718,10.404,43.719,10.403,137.20
route_1172,4,Stop,,43.718,10.405,43.718,10.404,80.37
route_1172,5,Stop,,43.717,10.405,43.718,10.405,111.19
route_1172,6,Stop,,43.716,10.406,43.717,10.405,137.20
route_1172,7,Stop,,43.716,10.407,43.716,10.406,80.37
route_1172,8,Stop,,43.716,10.406,43.716,10.407,80.37
route_1172,9,Stop,,43.717,10.406,43.716,10.406,111.19
route_1172,10,Location,Facolta di Ingegneria Polo A,43.718,10.406,43.717,10.406,111.19
route_1173,0,Location,Via del Borghetto 102,43.72,10.406,,,
route_1173,1,Stop,,43.72,10.404,43.72,10.406,160.73
route_1173,2,Stop,,43.72,10.403,43.72,10.404,80.36
route_1173,3,Stop,,43.719,10.403,43.72,10.403,111.19
route_1173,4,Stop,,43.718,10.403,43.719,10.403,111.19
route_1173,5,Stop,,43.718,10.404,43.718,10.403,80.37
route_1173,6,Stop,,43.718,10.405,43.718,10.404,80.37
route_1173,7,Stop,,43.718,10.406,43.718,10.405,80.37
route_1173,8,Stop,,43.718,10.406,43.718,10.406,0.00
route_1173,9,Stop,,43.719,10.407,43.718,10.406,137.20
route_1173,10,Location,Polo Fibonacci,43.719,10.407,43.719,10.407,0.00
route_1174,0,Location,Via del Borghetto 102,43.72,10.406,,,
route_1174,1,Stop,,43.719,10.403,43.72,10.406,265.50
route_1174,2,Stop,,43.718,10.404,43.719,10.403,137.20
route_1174,3,Stop,,43.716,10.405,43.718,10.404,236.47
